DATE,CPI,AvgHourlyEarnings
1/1/1947,21.48,
2/1/1947,21.62,
3/1/1947,22,
4/1/1947,22,
5/1/1947,21.95,
6/1/1947,22.08,
7/1/1947,22.23,
8/1/1947,22.4,
9/1/1947,22.84,
10/1/1947,22.91,
11/1/1947,23.06,
12/1/1947,23.41,
1/1/1948,23.68,
2/1/1948,23.67,
3/1/1948,23.5,
4/1/1948,23.82,
5/1/1948,24.01,
6/1/1948,24.15,
7/1/1948,24.4,
8/1/1948,24.43,
9/1/1948,24.36,
10/1/1948,24.31,
11/1/1948,24.16,
12/1/1948,24.05,
1/1/1949,24.01,
2/1/1949,23.91,
3/1/1949,23.91,
4/1/1949,23.92,
5/1/1949,23.91,
6/1/1949,23.92,
7/1/1949,23.7,
8/1/1949,23.7,
9/1/1949,23.75,
10/1/1949,23.67,
11/1/1949,23.7,
12/1/1949,23.61,
1/1/1950,23.51,
2/1/1950,23.61,
3/1/1950,23.64,
4/1/1950,23.65,
5/1/1950,23.77,
6/1/1950,23.88,
7/1/1950,24.07,
8/1/1950,24.2,
9/1/1950,24.34,
10/1/1950,24.5,
11/1/1950,24.6,
12/1/1950,24.98,
1/1/1951,25.38,
2/1/1951,25.83,
3/1/1951,25.88,
4/1/1951,25.92,
5/1/1951,25.99,
6/1/1951,25.93,
7/1/1951,25.91,
8/1/1951,25.86,
9/1/1951,26.03,
10/1/1951,26.16,
11/1/1951,26.32,
12/1/1951,26.47,
1/1/1952,26.45,
2/1/1952,26.41,
3/1/1952,26.39,
4/1/1952,26.46,
5/1/1952,26.47,
6/1/1952,26.53,
7/1/1952,26.68,
8/1/1952,26.69,
9/1/1952,26.63,
10/1/1952,26.69,
11/1/1952,26.69,
12/1/1952,26.71,
1/1/1953,26.64,
2/1/1953,26.59,
3/1/1953,26.63,
4/1/1953,26.69,
5/1/1953,26.7,
6/1/1953,26.77,
7/1/1953,26.79,
8/1/1953,26.85,
9/1/1953,26.89,
10/1/1953,26.95,
11/1/1953,26.85,
12/1/1953,26.87,
1/1/1954,26.94,
2/1/1954,26.99,
3/1/1954,26.93,
4/1/1954,26.86,
5/1/1954,26.93,
6/1/1954,26.94,
7/1/1954,26.86,
8/1/1954,26.85,
9/1/1954,26.81,
10/1/1954,26.72,
11/1/1954,26.78,
12/1/1954,26.77,
1/1/1955,26.77,
2/1/1955,26.82,
3/1/1955,26.79,
4/1/1955,26.79,
5/1/1955,26.77,
6/1/1955,26.71,
7/1/1955,26.76,
8/1/1955,26.72,
9/1/1955,26.85,
10/1/1955,26.82,
11/1/1955,26.88,
12/1/1955,26.87,
1/1/1956,26.83,
2/1/1956,26.86,
3/1/1956,26.89,
4/1/1956,26.93,
5/1/1956,27.03,
6/1/1956,27.15,
7/1/1956,27.29,
8/1/1956,27.31,
9/1/1956,27.35,
10/1/1956,27.51,
11/1/1956,27.51,
12/1/1956,27.63,
1/1/1957,27.67,
2/1/1957,27.8,
3/1/1957,27.86,
4/1/1957,27.93,
5/1/1957,28,
6/1/1957,28.11,
7/1/1957,28.19,
8/1/1957,28.28,
9/1/1957,28.32,
10/1/1957,28.32,
11/1/1957,28.41,
12/1/1957,28.47,
1/1/1958,28.64,
2/1/1958,28.7,
3/1/1958,28.87,
4/1/1958,28.94,
5/1/1958,28.94,
6/1/1958,28.91,
7/1/1958,28.89,
8/1/1958,28.94,
9/1/1958,28.91,
10/1/1958,28.91,
11/1/1958,28.95,
12/1/1958,28.97,
1/1/1959,29.01,
2/1/1959,29,
3/1/1959,28.97,
4/1/1959,28.98,
5/1/1959,29.04,
6/1/1959,29.11,
7/1/1959,29.15,
8/1/1959,29.18,
9/1/1959,29.25,
10/1/1959,29.35,
11/1/1959,29.35,
12/1/1959,29.41,
1/1/1960,29.37,
2/1/1960,29.41,
3/1/1960,29.41,
4/1/1960,29.54,
5/1/1960,29.57,
6/1/1960,29.61,
7/1/1960,29.55,
8/1/1960,29.61,
9/1/1960,29.61,
10/1/1960,29.75,
11/1/1960,29.78,
12/1/1960,29.81,
1/1/1961,29.84,
2/1/1961,29.84,
3/1/1961,29.84,
4/1/1961,29.81,
5/1/1961,29.84,
6/1/1961,29.84,
7/1/1961,29.92,
8/1/1961,29.94,
9/1/1961,29.98,
10/1/1961,29.98,
11/1/1961,29.98,
12/1/1961,30.01,
1/1/1962,30.04,
2/1/1962,30.11,
3/1/1962,30.17,
4/1/1962,30.21,
5/1/1962,30.24,
6/1/1962,30.21,
7/1/1962,30.22,
8/1/1962,30.28,
9/1/1962,30.42,
10/1/1962,30.38,
11/1/1962,30.38,
12/1/1962,30.38,
1/1/1963,30.44,
2/1/1963,30.48,
3/1/1963,30.51,
4/1/1963,30.48,
5/1/1963,30.51,
6/1/1963,30.61,
7/1/1963,30.69,
8/1/1963,30.75,
9/1/1963,30.72,
10/1/1963,30.75,
11/1/1963,30.78,
12/1/1963,30.88,
1/1/1964,30.94,
2/1/1964,30.91,
3/1/1964,30.94,
4/1/1964,30.95,
5/1/1964,30.98,
6/1/1964,31.01,
7/1/1964,31.02,
8/1/1964,31.05,
9/1/1964,31.08,
10/1/1964,31.12,
11/1/1964,31.21,
12/1/1964,31.25,
1/1/1965,31.28,
2/1/1965,31.28,
3/1/1965,31.31,
4/1/1965,31.38,
5/1/1965,31.48,
6/1/1965,31.61,
7/1/1965,31.58,
8/1/1965,31.55,
9/1/1965,31.62,
10/1/1965,31.65,
11/1/1965,31.75,
12/1/1965,31.85,
1/1/1966,31.88,
2/1/1966,32.08,
3/1/1966,32.18,
4/1/1966,32.28,
5/1/1966,32.35,
6/1/1966,32.38,
7/1/1966,32.45,
8/1/1966,32.65,
9/1/1966,32.75,
10/1/1966,32.85,
11/1/1966,32.88,
12/1/1966,32.92,
1/1/1967,32.9,
2/1/1967,33,
3/1/1967,33,
4/1/1967,33.1,
5/1/1967,33.1,
6/1/1967,33.3,
7/1/1967,33.4,
8/1/1967,33.5,
9/1/1967,33.6,
10/1/1967,33.7,
11/1/1967,33.9,
12/1/1967,34,
1/1/1968,34.1,
2/1/1968,34.2,
3/1/1968,34.3,
4/1/1968,34.4,
5/1/1968,34.5,
6/1/1968,34.7,
7/1/1968,34.9,
8/1/1968,35,
9/1/1968,35.1,
10/1/1968,35.3,
11/1/1968,35.4,
12/1/1968,35.6,
1/1/1969,35.7,
2/1/1969,35.8,
3/1/1969,36.1,
4/1/1969,36.3,
5/1/1969,36.4,
6/1/1969,36.6,
7/1/1969,36.8,
8/1/1969,36.9,
9/1/1969,37.1,
10/1/1969,37.3,
11/1/1969,37.5,
12/1/1969,37.7,
1/1/1970,37.9,
2/1/1970,38.1,
3/1/1970,38.3,
4/1/1970,38.5,
5/1/1970,38.6,
6/1/1970,38.8,
7/1/1970,38.9,
8/1/1970,39,
9/1/1970,39.2,
10/1/1970,39.4,
11/1/1970,39.6,
12/1/1970,39.8,
1/1/1971,39.9,
2/1/1971,39.9,
3/1/1971,40,
4/1/1971,40.1,
5/1/1971,40.3,
6/1/1971,40.5,
7/1/1971,40.6,
8/1/1971,40.7,
9/1/1971,40.8,
10/1/1971,40.9,
11/1/1971,41,
12/1/1971,41.1,
1/1/1972,41.2,
2/1/1972,41.4,
3/1/1972,41.4,
4/1/1972,41.5,
5/1/1972,41.6,
6/1/1972,41.7,
7/1/1972,41.8,
8/1/1972,41.9,
9/1/1972,42.1,
10/1/1972,42.2,
11/1/1972,42.4,
12/1/1972,42.5,
1/1/1973,42.7,
2/1/1973,43,
3/1/1973,43.4,
4/1/1973,43.7,
5/1/1973,43.9,
6/1/1973,44.2,
7/1/1973,44.2,
8/1/1973,45,
9/1/1973,45.2,
10/1/1973,45.6,
11/1/1973,45.9,
12/1/1973,46.3,
1/1/1974,46.8,
2/1/1974,47.3,
3/1/1974,47.8,
4/1/1974,48.1,
5/1/1974,48.6,
6/1/1974,49,
7/1/1974,49.3,
8/1/1974,49.9,
9/1/1974,50.6,
10/1/1974,51,
11/1/1974,51.5,
12/1/1974,51.9,
1/1/1975,52.3,
2/1/1975,52.6,
3/1/1975,52.8,
4/1/1975,53,
5/1/1975,53.1,
6/1/1975,53.5,
7/1/1975,54,
8/1/1975,54.2,
9/1/1975,54.6,
10/1/1975,54.9,
11/1/1975,55.3,
12/1/1975,55.6,
1/1/1976,55.8,
2/1/1976,55.9,
3/1/1976,56,
4/1/1976,56.1,
5/1/1976,56.4,
6/1/1976,56.7,
7/1/1976,57,
8/1/1976,57.3,
9/1/1976,57.6,
10/1/1976,57.9,
11/1/1976,58.1,
12/1/1976,58.4,
1/1/1977,58.7,
2/1/1977,59.3,
3/1/1977,59.6,
4/1/1977,60,
5/1/1977,60.2,
6/1/1977,60.5,
7/1/1977,60.8,
8/1/1977,61.1,
9/1/1977,61.3,
10/1/1977,61.6,
11/1/1977,62,
12/1/1977,62.3,
1/1/1978,62.7,
2/1/1978,63,
3/1/1978,63.4,
4/1/1978,63.9,
5/1/1978,64.5,
6/1/1978,65,
7/1/1978,65.5,
8/1/1978,65.9,
9/1/1978,66.5,
10/1/1978,67.1,
11/1/1978,67.5,
12/1/1978,67.9,
1/1/1979,68.5,
2/1/1979,69.2,
3/1/1979,69.9,
4/1/1979,70.6,
5/1/1979,71.4,
6/1/1979,72.2,
7/1/1979,73,
8/1/1979,73.7,
9/1/1979,74.4,
10/1/1979,75.2,
11/1/1979,76,
12/1/1979,76.9,
1/1/1980,78,
2/1/1980,79,
3/1/1980,80.1,
4/1/1980,80.9,
5/1/1980,81.7,
6/1/1980,82.5,
7/1/1980,82.6,
8/1/1980,83.2,
9/1/1980,83.9,
10/1/1980,84.7,
11/1/1980,85.6,
12/1/1980,86.4,
1/1/1981,87.2,
2/1/1981,88,
3/1/1981,88.6,
4/1/1981,89.1,
5/1/1981,89.7,
6/1/1981,90.5,
7/1/1981,91.5,
8/1/1981,92.2,
9/1/1981,93.1,
10/1/1981,93.4,
11/1/1981,93.8,
12/1/1981,94.1,
1/1/1982,94.4,
2/1/1982,94.7,
3/1/1982,94.7,
4/1/1982,95,
5/1/1982,95.9,
6/1/1982,97,
7/1/1982,97.5,
8/1/1982,97.7,
9/1/1982,97.7,
10/1/1982,98.1,
11/1/1982,98,
12/1/1982,97.7,
1/1/1983,97.9,
2/1/1983,98,
3/1/1983,98.1,
4/1/1983,98.8,
5/1/1983,99.2,
6/1/1983,99.4,
7/1/1983,99.8,
8/1/1983,100.1,
9/1/1983,100.4,
10/1/1983,100.8,
11/1/1983,101.1,
12/1/1983,101.4,
1/1/1984,102.1,
2/1/1984,102.6,
3/1/1984,102.9,
4/1/1984,103.3,
5/1/1984,103.5,
6/1/1984,103.7,
7/1/1984,104.1,
8/1/1984,104.4,
9/1/1984,104.7,
10/1/1984,105.1,
11/1/1984,105.3,
12/1/1984,105.5,
1/1/1985,105.7,
2/1/1985,106.3,
3/1/1985,106.8,
4/1/1985,107,
5/1/1985,107.2,
6/1/1985,107.5,
7/1/1985,107.7,
8/1/1985,107.9,
9/1/1985,108.1,
10/1/1985,108.5,
11/1/1985,109,
12/1/1985,109.5,
1/1/1986,109.9,
2/1/1986,109.7,
3/1/1986,109.1,
4/1/1986,108.7,
5/1/1986,109,
6/1/1986,109.4,
7/1/1986,109.5,
8/1/1986,109.6,
9/1/1986,110,
10/1/1986,110.2,
11/1/1986,110.4,
12/1/1986,110.8,
1/1/1987,111.4,
2/1/1987,111.8,
3/1/1987,112.2,
4/1/1987,112.7,
5/1/1987,113,
6/1/1987,113.5,
7/1/1987,113.8,
8/1/1987,114.3,
9/1/1987,114.7,
10/1/1987,115,
11/1/1987,115.4,
12/1/1987,115.6,
1/1/1988,116,
2/1/1988,116.2,
3/1/1988,116.5,
4/1/1988,117.2,
5/1/1988,117.5,
6/1/1988,118,
7/1/1988,118.5,
8/1/1988,119,
9/1/1988,119.5,
10/1/1988,119.9,
11/1/1988,120.3,
12/1/1988,120.7,
1/1/1989,121.2,
2/1/1989,121.6,
3/1/1989,122.2,
4/1/1989,123.1,
5/1/1989,123.7,
6/1/1989,124.1,
7/1/1989,124.5,
8/1/1989,124.5,
9/1/1989,124.8,
10/1/1989,125.4,
11/1/1989,125.9,
12/1/1989,126.3,
1/1/1990,127.5,
2/1/1990,128,
3/1/1990,128.6,
4/1/1990,128.9,
5/1/1990,129.1,
6/1/1990,129.9,
7/1/1990,130.5,
8/1/1990,131.6,
9/1/1990,132.5,
10/1/1990,133.4,
11/1/1990,133.7,
12/1/1990,134.2,
1/1/1991,134.7,
2/1/1991,134.8,
3/1/1991,134.8,
4/1/1991,135.1,
5/1/1991,135.6,
6/1/1991,136,
7/1/1991,136.2,
8/1/1991,136.6,
9/1/1991,137,
10/1/1991,137.2,
11/1/1991,137.8,
12/1/1991,138.2,
1/1/1992,138.3,
2/1/1992,138.6,
3/1/1992,139.1,
4/1/1992,139.4,
5/1/1992,139.7,
6/1/1992,140.1,
7/1/1992,140.5,
8/1/1992,140.8,
9/1/1992,141.1,
10/1/1992,141.7,
11/1/1992,142.1,
12/1/1992,142.3,
1/1/1993,142.8,
2/1/1993,143.1,
3/1/1993,143.3,
4/1/1993,143.8,
5/1/1993,144.2,
6/1/1993,144.3,
7/1/1993,144.5,
8/1/1993,144.8,
9/1/1993,145,
10/1/1993,145.6,
11/1/1993,146,
12/1/1993,146.3,
1/1/1994,146.3,
2/1/1994,146.7,
3/1/1994,147.1,
4/1/1994,147.2,
5/1/1994,147.5,
6/1/1994,147.9,
7/1/1994,148.4,
8/1/1994,149,
9/1/1994,149.3,
10/1/1994,149.4,
11/1/1994,149.8,
12/1/1994,150.1,
1/1/1995,150.5,
2/1/1995,150.9,
3/1/1995,151.2,
4/1/1995,151.8,
5/1/1995,152.1,
6/1/1995,152.4,
7/1/1995,152.6,
8/1/1995,152.9,
9/1/1995,153.1,
10/1/1995,153.5,
11/1/1995,153.7,
12/1/1995,153.9,
1/1/1996,154.7,
2/1/1996,155,
3/1/1996,155.5,
4/1/1996,156.1,
5/1/1996,156.4,
6/1/1996,156.7,
7/1/1996,157,
8/1/1996,157.2,
9/1/1996,157.7,
10/1/1996,158.2,
11/1/1996,158.7,
12/1/1996,159.1,
1/1/1997,159.4,
2/1/1997,159.7,
3/1/1997,159.8,
4/1/1997,159.9,
5/1/1997,159.9,
6/1/1997,160.2,
7/1/1997,160.4,
8/1/1997,160.8,
9/1/1997,161.2,
10/1/1997,161.5,
11/1/1997,161.7,
12/1/1997,161.8,
1/1/1998,162,
2/1/1998,162,
3/1/1998,162,
4/1/1998,162.2,
5/1/1998,162.6,
6/1/1998,162.8,
7/1/1998,163.2,
8/1/1998,163.4,
9/1/1998,163.5,
10/1/1998,163.9,
11/1/1998,164.1,
12/1/1998,164.4,
1/1/1999,164.7,
2/1/1999,164.7,
3/1/1999,164.8,
4/1/1999,165.9,
5/1/1999,166,
6/1/1999,166,
7/1/1999,166.7,
8/1/1999,167.1,
9/1/1999,167.8,
10/1/1999,168.1,
11/1/1999,168.4,
12/1/1999,168.8,
1/1/2000,169.3,
2/1/2000,170,
3/1/2000,171,
4/1/2000,170.9,
5/1/2000,171.2,
6/1/2000,172.2,
7/1/2000,172.7,
8/1/2000,172.7,
9/1/2000,173.6,
10/1/2000,173.9,
11/1/2000,174.2,
12/1/2000,174.6,
1/1/2001,175.6,
2/1/2001,176,
3/1/2001,176.1,
4/1/2001,176.4,
5/1/2001,177.3,
6/1/2001,177.7,
7/1/2001,177.4,
8/1/2001,177.4,
9/1/2001,178.1,
10/1/2001,177.6,
11/1/2001,177.5,
12/1/2001,177.4,
1/1/2002,177.7,
2/1/2002,178,
3/1/2002,178.5,
4/1/2002,179.3,
5/1/2002,179.5,
6/1/2002,179.6,
7/1/2002,180,
8/1/2002,180.5,
9/1/2002,180.8,
10/1/2002,181.2,
11/1/2002,181.5,
12/1/2002,181.8,
1/1/2003,182.6,
2/1/2003,183.6,
3/1/2003,183.9,
4/1/2003,183.2,
5/1/2003,182.9,
6/1/2003,183.1,
7/1/2003,183.7,
8/1/2003,184.5,
9/1/2003,185.1,
10/1/2003,184.9,
11/1/2003,185,
12/1/2003,185.5,
1/1/2004,186.3,
2/1/2004,186.7,
3/1/2004,187.1,
4/1/2004,187.4,
5/1/2004,188.2,
6/1/2004,188.9,
7/1/2004,189.1,
8/1/2004,189.2,
9/1/2004,189.8,
10/1/2004,190.8,
11/1/2004,191.7,
12/1/2004,191.7,
1/1/2005,191.6,
2/1/2005,192.4,
3/1/2005,193.1,
4/1/2005,193.7,
5/1/2005,193.6,
6/1/2005,193.7,
7/1/2005,194.9,
8/1/2005,196.1,
9/1/2005,198.8,
10/1/2005,199.1,
11/1/2005,198.1,
12/1/2005,198.1,
1/1/2006,199.3,
2/1/2006,199.4,
3/1/2006,199.7,15.24
4/1/2006,200.7,15.24
5/1/2006,201.3,15.17
6/1/2006,201.8,15.23
7/1/2006,202.9,15.2
8/1/2006,203.8,15.14
9/1/2006,202.8,15.1
10/1/2006,201.9,15.1
11/1/2006,202,15.08
12/1/2006,203.1,15.13
1/1/2007,203.44,15.12
2/1/2007,204.23,15.12
3/1/2007,205.29,15.09
4/1/2007,205.9,15.11
5/1/2007,206.76,15.08
6/1/2007,207.23,15.15
7/1/2007,207.6,15.08
8/1/2007,207.67,15.09
9/1/2007,208.55,15.09
10/1/2007,209.19,15.2
11/1/2007,210.83,15.15
12/1/2007,211.45,15.11
1/1/2008,212.17,15.1
2/1/2008,212.69,15.16
3/1/2008,213.45,15.15
4/1/2008,213.94,15.18
5/1/2008,215.21,15.23
6/1/2008,217.46,15.21
7/1/2008,219.02,15.22
8/1/2008,218.69,15.27
9/1/2008,218.88,15.25
10/1/2008,217,15.22
11/1/2008,213.15,15.26
12/1/2008,211.4,15.28
1/1/2009,211.93,15.29
2/1/2009,212.71,15.27
3/1/2009,212.5,15.33
4/1/2009,212.71,15.27
5/1/2009,213.02,15.36
6/1/2009,214.79,15.34
7/1/2009,214.73,15.38
8/1/2009,215.45,15.5
9/1/2009,215.86,15.48
10/1/2009,216.51,15.39
11/1/2009,217.23,15.44
12/1/2009,217.35,15.45
1/1/2010,217.49,15.48
2/1/2010,217.28,15.48
3/1/2010,217.35,15.53
4/1/2010,217.4,15.59
5/1/2010,217.29,15.48
6/1/2010,217.2,15.5
7/1/2010,217.61,15.57
8/1/2010,217.92,15.53
9/1/2010,218.28,15.57
10/1/2010,219.04,15.63
11/1/2010,219.59,15.62
12/1/2010,220.47,15.65
1/1/2011,221.19,15.7
2/1/2011,221.9,15.72
3/1/2011,223.05,15.71
4/1/2011,224.09,15.75
5/1/2011,224.81,15.81
6/1/2011,224.81,15.79
7/1/2011,225.4,15.97
8/1/2011,226.11,15.83
9/1/2011,226.6,15.8
10/1/2011,226.75,15.94
11/1/2011,227.17,16.02
12/1/2011,227.22,16.03
1/1/2012,227.84,16.02
2/1/2012,228.33,16.08
3/1/2012,228.81,16.09
4/1/2012,229.19,16.17
5/1/2012,228.71,16.2
6/1/2012,228.52,16.32
7/1/2012,228.59,16.32
8/1/2012,229.92,16.32
9/1/2012,231.02,16.38
10/1/2012,231.64,16.39
11/1/2012,231.25,16.34
12/1/2012,231.22,16.5
1/1/2013,231.68,16.52
2/1/2013,232.94,16.52
3/1/2013,232.28,16.56
4/1/2013,231.8,16.57
5/1/2013,231.89,16.56
6/1/2013,232.45,16.61
7/1/2013,232.9,16.6
8/1/2013,233.46,16.69
9/1/2013,233.54,16.65
10/1/2013,233.67,16.67
11/1/2013,234.1,16.67
12/1/2013,234.72,16.67
1/1/2014,235.29,16.74
2/1/2014,235.55,16.81
3/1/2014,236.03,16.89
4/1/2014,236.47,16.94
5/1/2014,236.92,16.97
6/1/2014,237.23,17.01
7/1/2014,237.5,17.03
8/1/2014,237.46,17.04
9/1/2014,237.48,17.05
10/1/2014,237.43,17.07
11/1/2014,236.98,17.17
12/1/2014,236.25,17.03
1/1/2015,234.75,17.31
2/1/2015,235.34,17.33
3/1/2015,235.98,17.28
4/1/2015,236.22,17.36
5/1/2015,237,17.39
6/1/2015,237.66,17.41
7/1/2015,238.03,17.49
8/1/2015,238.03,17.55
9/1/2015,237.5,17.64
10/1/2015,237.73,17.68
11/1/2015,238.02,17.68
12/1/2015,237.76,17.7
1/1/2016,237.65,17.72
2/1/2016,237.34,17.73
3/1/2016,238.08,17.79
4/1/2016,238.99,17.79
5/1/2016,239.56,17.82
6/1/2016,240.22,17.89
7/1/2016,240.1,17.86
8/1/2016,240.55,17.89
9/1/2016,241.18,17.89
10/1/2016,241.74,17.94
11/1/2016,242.03,18.05
12/1/2016,242.64,17.9
1/1/2017,243.62,17.98
2/1/2017,244.01,17.99
3/1/2017,243.89,18
4/1/2017,244.19,18.02
5/1/2017,244,18.11
6/1/2017,244.16,18.12
7/1/2017,244.24,18.17
8/1/2017,245.18,18.25
9/1/2017,246.44,18.21
10/1/2017,246.63,18.23
11/1/2017,247.28,18.24
12/1/2017,247.81,18.28
1/1/2018,248.86,18.4
2/1/2018,249.53,18.44
3/1/2018,249.58,18.49
4/1/2018,250.23,18.6
5/1/2018,250.79,18.69
6/1/2018,251.02,18.64
7/1/2018,251.21,18.73
8/1/2018,251.66,18.83
9/1/2018,252.18,18.93
10/1/2018,252.77,19.04
11/1/2018,252.59,19.07
12/1/2018,252.77,19.25
1/1/2019,252.56,19.33
2/1/2019,253.32,19.4
3/1/2019,254.28,19.42
4/1/2019,255.23,19.47
5/1/2019,255.3,19.45
6/1/2019,255.21,19.61
7/1/2019,255.8,19.7
8/1/2019,256.04,19.77
9/1/2019,256.43,19.83
10/1/2019,257.16,19.89
11/1/2019,257.88,20
12/1/2019,258.63,20.03
1/1/2020,258.91,20.12
2/1/2020,259.25,20.21
3/1/2020,258.15,20.36
4/1/2020,256.13,21.07
5/1/2020,255.85,20.65
6/1/2020,257,20.59
7/1/2020,258.41,20.95
8/1/2020,259.37,21.12
9/1/2020,259.95,21.32
10/1/2020,260.25,21.11
11/1/2020,260.9,21.18
12/1/2020,262.01,21.35
1/1/2021,262.52,21.34
2/1/2021,263.58,21.2
3/1/2021,264.91,21.39
4/1/2021,266.75,21.56
5/1/2021,268.45,21.79
6/1/2021,270.66,21.92
7/1/2021,271.99,21.93
8/1/2021,272.79,22
9/1/2021,273.89,22.17
10/1/2021,276.43,22.3
11/1/2021,278.8,22.35
12/1/2021,280.81,22.5
1/1/2022,282.39,22.59
2/1/2022,284.54,22.61
3/1/2022,287.55,22.79
4/1/2022,288.76,22.74
5/1/2022,291.36,22.82
6/1/2022,295,22.9
7/1/2022,294.98,23.06
8/1/2022,295.21,23.11
9/1/2022,296.34,23.15
10/1/2022,297.86,23.35
11/1/2022,298.65,23.49
12/1/2022,298.81,23.47
1/1/2023,300.36,23.56
2/1/2023,301.51,23.77
3/1/2023,301.74,23.67
4/1/2023,303.03,23.8
5/1/2023,303.37,23.78
6/1/2023,304,23.89
7/1/2023,304.63,23.94
8/1/2023,306.19,24.02
9/1/2023,307.29,24.1
10/1/2023,307.53,24.08
11/1/2023,308.02,24.1
12/1/2023,308.74,24.25
1/1/2024,309.69,24.24
2/1/2024,311.05,24.33
